wavelength,value
380.0,0.0
385.0,0.0
390.0,0.0
395.0,0.01
400.0,0.02
405.0,0.05
410.0,0.11
415.0,0.24
420.0,0.5
425.0,0.94
430.0,1.6
435.0,2.43
440.0,3.38
445.0,4.59
450.0,5.84
455.0,5.56
460.0,4.0
465.0,3.14
470.0,2.8
475.0,2.68
480.0,3.03
485.0,3.98
490.0,5.53
495.0,7.84
500.0,10.96
505.0,14.61
510.0,18.01
515.0,20.24
520.0,20.57
525.0,19.22
530.0,16.93
535.0,14.58
540.0,12.61
545.0,11.09
550.0,9.93
555.0,9.11
560.0,8.6
565.0,8.31
570.0,8.21
575.0,8.24
580.0,8.42
585.0,8.74
590.0,9.25
595.0,10.0
600.0,11.1
605.0,12.74
610.0,15.35
615.0,19.43
620.0,26.01
625.0,36.47
630.0,51.1
635.0,62.69
640.0,52.07
645.0,28.62
650.0,15.5
655.0,9.58
660.0,6.54
665.0,4.95
670.0,4.01
675.0,3.37
680.0,2.89
685.0,2.51
690.0,2.18
695.0,1.92
700.0,1.67
705.0,1.44
710.0,1.25
715.0,1.09
720.0,0.93
725.0,0.82
730.0,0.71
735.0,0.61
740.0,0.53
745.0,0.45
750.0,0.4
755.0,0.35
760.0,0.3
765.0,0.27
770.0,0.24
775.0,0.21
780.0,0.17
